Requirement,Eis
Requirement Link,Eis-koppeling
Requirement ID,Eis-ID
Title,Titel
Priority (MoSCoW),Prioriteit (MoSCoW)
Description,Omschrijving
Acceptance Criterion,Acceptatiecriterium
Source Type,Brontype
Source Document,Brondocument
Work Item,Werk-item
Relation Type,Relatietype
Note,Opmerking
Frequency,Frequentie
Impact,Impact
Source,Bron
Work Type,Werktype
Board State,Bordstatus
Phase (auto),Fase (auto)
Epic (auto),Epic (auto)
Package,Pakket
Tier,Pakketniveau
Functional,Functioneel
Non-Functional,Niet-functioneel
Process,Proces
System,Systeem
Role,Rol
Risk,Risico
Wish,Wens
Technical,Technisch
implements,implementeert
verifies,verifieert
depends-on,hangt af van
Agreed,Akkoord
Built,Gebouwd
Tested,Getest
Accepted,Geaccepteerd
High,Hoog
Medium,Normaal
Low,Laag
Phase,Fase
Step,Stap
Task,Taak
Bug,Bug
Story,Story
Epic,Epic
Requirement Source,Eis-bron
Source ID,Bron-ID
Problem,Knelpunt
Source (Eis-bron),Bron
